"city_key","city_name","incident_code","incident_date","incident_latitude","incident_longitude","incident_address","incident_source_original_type","incident_offense_code","incident_offense","incident_offense_description","incident_offense_detail_description","incident_offense_crime_against","incident_offense_action"
"SFO","San Francisco","103575828160","06-01-2021 00:01:00","37.7869397","-122.4115158","GEARY ST \ TAYLOR ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at GEARY ST \ TAYLOR ST","Property","C"
"SFO","San Francisco","103569128160","06-01-2021 00:04:00","37.7356046","-122.4167596","ANDOVER ST \ RICHLAND AVE","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at ANDOVER ST \ RICHLAND AVE","Property","C"
"SFO","San Francisco","103569106231","06-01-2021 00:04:00","37.7356046","-122.4167596","ANDOVER ST \ RICHLAND AVE","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at ANDOVER ST \ RICHLAND AVE","Property","C"
"SFO","San Francisco","103569205051","06-01-2021 00:05:00","37.7811602","-122.4610629","03RD AVE \ GEARY BLVD","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at 03RD AVE \ GEARY BLVD","Property","C"
"SFO","San Francisco","103949106244","06-01-2021 00:05:00","37.730936","-122.3738904","ARELIOUS WALKER DR \ INNES AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at ARELIOUS WALKER DR \ INNES AVE","Property","C"
"SFO","San Francisco","103597312080","06-01-2021 00:16:00","37.7570354","-122.4189011","MISSION ST \ 21ST ST","Weapons Offense","520","Weapon Law Violations","Weapon Law Violations","Weapon Law Violations at MISSION ST \ 21ST ST","Society","C"
"SFO","San Francisco","103570712080","06-01-2021 00:16:00","37.7570354","-122.4189011","MISSION ST \ 21ST ST","Weapons Offense","520","Weapon Law Violations","Weapon Law Violations","Weapon Law Violations at MISSION ST \ 21ST ST","Society","C"
"SFO","San Francisco","103570306233","06-01-2021 00:17:00","37.7796953","-122.456497","ANZA ST \ ROSSI AVE","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at ANZA ST \ ROSSI AVE","Property","C"
"SFO","San Francisco","103570307100","06-01-2021 00:17:00","37.7796953","-122.456497","ANZA ST \ ROSSI AVE","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at ANZA ST \ ROSSI AVE","Property","C"
"SFO","San Francisco","103568707041","06-01-2021 00:19:00","37.7727329","-122.3936532","EL DORADO ST NORTH \ CHANNEL \ EL DORADO ST","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at EL DORADO ST NORTH \ CHANNEL \ EL DORADO ST","Person, Property, or Society","C"
"SFO","San Francisco","103574105153","06-01-2021 00:21:00","37.79305","-122.4228713","VAN NESS AVE \ WASHINGTON ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at VAN NESS AVE \ WASHINGTON ST","Property","C"
"SFO","San Francisco","103718306244","06-01-2021 00:30:00","37.7767596","-122.4313845","FILLMORE ST \ GROVE ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at FILLMORE ST \ GROVE ST","Property","C"
"SFO","San Francisco","103648105073","06-01-2021 00:30:00","37.79305","-122.4228713","VAN NESS AVE \ WASHINGTON ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at VAN NESS AVE \ WASHINGTON ST","Property","C"
"SFO","San Francisco","103570865010","06-01-2021 00:40:00","37.7632997","-122.4217316","VALENCIA ST \ 17TH ST","Traffic Violation Arrest","90Z","All Other Offenses","All Other Offenses","All Other Offenses at VALENCIA ST \ 17TH ST","Person, Property, or Society","C"
"SFO","San Francisco","103570865015","06-01-2021 00:40:00","37.7632997","-122.4217316","VALENCIA ST \ 17TH ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at VALENCIA ST \ 17TH ST","Person, Property, or Society","C"
